subdomain_category_id,label,row_count
caj_nalev,caj nalev,64
ostatni_specialni,ostatni specialni,41
cerstva_potrava,cerstva potrava,33
sirup_koncentrat,sirup koncentrat,32
suseni_skladovani,suseni skladovani,24
koreni_dochucovadlo,koreni dochucovadlo,15
zavarenina,zavarenina,14
vune_a_vykurovani,vune a vykurovani,10
liker_macerat,liker macerat,8
kavova_nahrada,kavova nahrada,8
palivo,palivo,6
ocet,ocet,5
zevni_aplikace,zevni aplikace,4
fermentace,fermentace,4
olej,olej,3
odvar,odvar,1
mouka_skrob,mouka skrob,1
